Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison
ENSG00000102921.10,736.1517008819313,-0.15692099548339064,0.08474546712530633,0.06368907182916834,0.09141080931097188,HuT78_vs_HH
ENSG00000111275.15,12.737214426188894,1.2443052715713734,1.1909554601250798,0.063695675410971,0.09141296362953981,HuT78_vs_HH
ENSG00000071462.15,3683.200685849424,0.10463862728950037,0.056499760931724326,0.06376648317265458,0.09150725296684611,HuT78_vs_HH
ENSG00000272716.3,18.358062851341323,0.7848030063223087,0.4783107768336304,0.06384467567442262,0.09161212372505256,HuT78_vs_HH
ENSG00000168807.19,821.5266797241372,-0.19671336953213248,0.10684933084197641,0.06392395109145957,0.0917185314595145,HuT78_vs_HH
ENSG00000157911.13,821.5890226775879,-0.2051212940963262,0.11162942228219391,0.0640407035445388,0.09187869015779711,HuT78_vs_HH
ENSG00000131408.17,1997.8118232373492,-0.22934445005033935,0.12514867195408388,0.06404584739985335,0.09187871205704458,HuT78_vs_HH
ENSG00000220472.1,96.05534845192591,-0.4563049171902346,0.2556683232164615,0.06409806471014104,0.09194625905053862,HuT78_vs_HH
ENSG00000241741.1,36.80290527507249,-0.6258389521204298,0.36363620713029143,0.06413847694648322,0.09199686264981961,HuT78_vs_HH
ENSG00000164442.13,1320.6299538763092,-0.2914783118171905,0.15956529506643083,0.06417695243219669,0.0920446803957092,HuT78_vs_HH
ENSG00000156804.9,58.80041781524666,0.6960744873618354,0.41237782105823895,0.06420257827455211,0.0920740625831413,HuT78_vs_HH
ENSG00000104833.13,629.1862474129458,-0.17849415669177177,0.09734831074187605,0.06431424956290054,0.09222682949806796,HuT78_vs_HH
ENSG00000047056.20,435.89248707656344,0.20379892885625525,0.11110824760876903,0.06449294091115045,0.09247567123605412,HuT78_vs_HH
ENSG00000255224.3,29.84379098095421,0.749089313143652,0.4522892799717984,0.0645299112124051,0.09252127726052321,HuT78_vs_HH
ENSG00000023608.7,349.8291890856366,0.22237248460027942,0.12120659739603475,0.06459272850121271,0.09260393174609681,HuT78_vs_HH
ENSG00000111906.20,1594.7857027383445,-0.1494345625397504,0.08127887644270759,0.06468971194869501,0.09273555169727703,HuT78_vs_HH
ENSG00000186676.3,13.335686543554772,-0.8846239473069549,0.5688361646323561,0.06472069475066351,0.09277254332358273,HuT78_vs_HH
ENSG00000069956.16,1774.269100837505,-0.20526309405393303,0.11185291995326786,0.0649495172875518,0.09309309562416918,HuT78_vs_HH
ENSG00000120742.13,6061.725537386046,-0.12585915278838222,0.06828858865506048,0.06521273620915806,0.09346289353496533,HuT78_vs_HH
ENSG00000072195.16,12.70275375324601,0.47658569566494324,1.1747340506376682,0.06525354583726056,0.09351390078189928,HuT78_vs_HH
ENSG00000169621.13,158.6413275208121,0.3825927397616379,0.2123278474102433,0.06526381367063552,0.09351589959175573,HuT78_vs_HH
ENSG00000267040.9,298.65924940581505,-0.2690293933820871,0.14776718646425938,0.06526538055237074,0.09351589959175573,HuT78_vs_HH
ENSG00000287382.2,46.27425248574785,0.6289738393482751,0.3661265468357819,0.06528299645931716,0.09353365975437197,HuT78_vs_HH
ENSG00000127419.19,502.905963717067,-0.222114910598177,0.12172282030540933,0.06542063437890973,0.0937233638463149,HuT78_vs_HH
ENSG00000271303.4,143.60675691912132,0.40567830113369946,0.225717393858839,0.06557928539960899,0.09394313912793818,HuT78_vs_HH
ENSG00000107833.13,2245.0200231037857,0.15226016295695285,0.08289193513376557,0.06568693161430356,0.09408982009036926,HuT78_vs_HH
ENSG00000261587.4,12.70806508905736,-0.8839797502178965,0.5690790044687417,0.06570588634220857,0.09410944626004689,HuT78_vs_HH
ENSG00000091542.10,3828.8047439959764,0.14457710115574351,0.07880655896356178,0.0657709234060263,0.09419506697729324,HuT78_vs_HH
ENSG00000237491.11,27.959352738805872,-0.6917758533827075,0.41144498498843624,0.06581383817783361,0.0942489936815259,HuT78_vs_HH
ENSG00000100811.16,4950.79928005499,0.14088262746645422,0.07649315106748011,0.06585107466123044,0.09429478079737377,HuT78_vs_HH
ENSG00000230648.2,18.75396511253102,-0.8183096259245393,0.5123505644050024,0.0658986749055611,0.09435539969094686,HuT78_vs_HH
ENSG00000174106.5,689.1246119446025,-0.1824781903959274,0.09979459433003329,0.06593771285058234,0.09440375015729102,HuT78_vs_HH
ENSG00000154144.15,645.6818565669676,0.17677737541938743,0.09651352095749247,0.06597403242877695,0.09444820129147666,HuT78_vs_HH
ENSG00000102317.20,8683.08543627538,0.16861021657221245,0.09172597706653289,0.06607194909402496,0.09458082045700816,HuT78_vs_HH
ENSG00000037897.19,486.3646627471627,-0.20048344148182157,0.10978871404795026,0.06612775019048418,0.09465313555948579,HuT78_vs_HH
ENSG00000106089.14,161.55064286903357,0.3255580724321948,0.17999446993053922,0.06621282795987397,0.09476734144772248,HuT78_vs_HH
ENSG00000180139.11,4.758167617391461,1.2108452425363125,1.0240920966595524,0.06627374472520817,0.09484695133025278,HuT78_vs_HH
ENSG00000284130.3,15.343402171702742,-0.9036234117144394,0.5929352271558899,0.0662823547216209,0.09485169620878972,HuT78_vs_HH
ENSG00000243660.14,37.11521503790581,-0.6774308965179097,0.4036333389571788,0.0663175898461934,0.09489453850595485,HuT78_vs_HH
ENSG00000176148.18,299.01642672544125,-0.2919786565389001,0.16098628688283192,0.06634110603403336,0.09492060654897433,HuT78_vs_HH
ENSG00000214013.11,370.9395211228768,0.2986552841889893,0.16483008483791092,0.06651374735578072,0.09516002107321607,HuT78_vs_HH
ENSG00000154914.19,48.03576118458827,0.5326559846052871,0.3044801646978229,0.06658773526647283,0.09525826697267913,HuT78_vs_HH
ENSG00000254598.3,12.494852386937469,0.8333848021915317,0.5252224139349136,0.06667788547722721,0.09537961660208603,HuT78_vs_HH
ENSG00000237489.7,191.06258315940042,-0.34606277151728054,0.19263733275538616,0.06682801779372827,0.09558674161873389,HuT78_vs_HH
ENSG00000296912.1,9.612337527475196,-1.0369348380949894,0.7360694037172881,0.06692714029184825,0.09572087803995381,HuT78_vs_HH
ENSG00000143013.15,1737.3955006565486,-0.19035021419542053,0.10475647843251955,0.06696129445864535,0.09576208112290505,HuT78_vs_HH
