Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000181656.8,147.31481424791625,-13.03422718199619,3.2683842481873877,1.1873712206537826e-22,7.665497447932438e-22,HuT78_vs_HH,ENSG00000181656,GPR88,protein_coding,Down
ENSG00000104447.15,251.12003008835072,-12.948821078353298,3.2619116934282935,1.3297933642167124e-22,8.569513712209496e-22,HuT78_vs_HH,ENSG00000104447,TRPS1,protein_coding,Down
ENSG00000173040.15,165.74748932861937,-12.946131829609916,3.2670882439960973,3.106582757787964e-22,1.9645051219827523e-21,HuT78_vs_HH,ENSG00000173040,EVC2,protein_coding,Down
ENSG00000188580.17,165.22348388363355,-12.919811888655035,3.258292643051588,1.581079998071174e-22,1.0148709482423891e-21,HuT78_vs_HH,ENSG00000188580,NKAIN2,protein_coding,Down
ENSG00000164023.17,230.4910567219058,-12.801435290351128,3.2463702568252484,4.176822479477073e-22,2.6273797303311716e-21,HuT78_vs_HH,ENSG00000164023,SGMS2,protein_coding,Down
ENSG00000300706.1,125.80514467499708,-12.78434424474311,3.2474302882722923,8.1110232283507675e-22,5.0227784699586586e-21,HuT78_vs_HH,ENSG00000300706,ENSG00000300706,lncRNA,Down
ENSG00000239887.6,158.0387428934972,-12.782263510456653,3.2428924005731523,4.308287460053479e-22,2.705326668309081e-21,HuT78_vs_HH,ENSG00000239887,C1orf226,protein_coding,Down
ENSG00000305720.1,126.23567256584707,-12.773415594911569,3.246129636644354,8.023505104351815e-22,4.9703006204862644e-21,HuT78_vs_HH,ENSG00000305720,ENSG00000305720,lncRNA,Down
ENSG00000118777.14,443.56391160386937,-12.746871780229885,3.2386011740243674,4.613758284286191e-22,2.8900517364680812e-21,HuT78_vs_HH,ENSG00000118777,ABCG2,protein_coding,Down
ENSG00000147889.19,1444.397092852924,-12.739010375118353,1.319973752937851,6.786406392676455e-28,5.5301391351051936e-27,HuT78_vs_HH,ENSG00000147889,CDKN2A,protein_coding,Down
ENSG00000235098.11,1728.6609561073096,-12.691109930100406,3.2514766459770716,1.2428520540872976e-20,7.259763465593067e-20,HuT78_vs_HH,ENSG00000235098,ANKRD65,protein_coding,Down
ENSG00000188958.12,4412.47084917879,-12.686253432440251,0.6432710217373977,3.0199528122790618e-84,1.0424365054331289e-82,HuT78_vs_HH,ENSG00000188958,UTS2B,protein_coding,Down
ENSG00000166049.11,116.68663697630896,-12.661941785051855,3.2391474112394305,4.107590670328417e-21,2.4627672978224095e-20,HuT78_vs_HH,ENSG00000166049,PASD1,protein_coding,Down
