"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000161956.16",514.513190446741,486.557184092523,1381.46620196343,1312.2721768327,1376.53503186256,513.727222403131,696.38944096236,793.226420530519,634.767142414254,728.573631291159,785.803521826125,829.202061205474
"ENSG00000161960.18",96.3431073744894,83.5207940757624,93.0880451502242,71.2166863724051,99.1527149387595,115.091638420253,73.2498523086334,72.8859598816825,114.430811387604,95.4302993126959,122.276062892852,74.6796887421079
"ENSG00000129255.18",778.944272389489,972.143196160909,2821.36000673392,2532.38158306582,2972.47181593004,811.919194673787,780.987861938528,1031.76228923421,879.821804536763,918.516630884698,935.951334348965,795.724959355564
"ENSG00000129245.14",747.171545489391,798.303403840427,2460.89140636497,2222.37953650358,2592.73801403692,736.586485889621,946.057951648124,1073.4114091666,1292.20453991473,1401.17372163929,1353.12849010105,954.526596335908
"ENSG00000141504.14",143.489734387537,101.001890510224,244.603693107504,206.318929637703,235.223993950461,121.369364152267,3.09506418205493,1.89314181510864,200.79368790655,203.706985071332,144.753280336391,1.71677445384156
"ENSG00000129244.11",0,0,531.790215379472,474.428807745581,892.374434448835,0,0,0.946570907554319,0,0,0,2.57516168076234
"ENSG00000141510.21",179.362167984422,204.917297092859,5312.95066203141,6118.35120275868,6124.26237164295,229.136989218504,251.731886807135,267.879566837872,5151.54558435514,5683.60840329652,5077.1538761466,279.834235976174
"ENSG00000141499.20",577.03371757274,665.252836533689,1022.9781982998,1048.35151557026,1117.0502672356,584.874780699287,620.044524471671,620.003944448079,853.91294158108,837.767916081647,872.116036809315,563.960408086953
"ENSG00000132510.13",427.394423140022,421.488658475359,1304.2229304558,1227.44053571263,1951.4098152841,422.70019928893,470.44975567235,583.08767905346,568.915449068557,539.548230729473,525.067799481072,441.211034637281
"ENSG00000183011.16",649.803511440705,612.809547230303,3287.7905308377,3082.21629402924,2633.87584257534,579.643342589276,857.332778429216,686.263907976881,1213.39841509119,1141.49319562494,1104.98000952438,795.724959355564
"ENSG00000182224.13",40.9970669678678,33.0198488206503,90.1171500922383,91.1154663882241,65.3985992149264,25.1109029280553,45.394274670139,49.2216871928246,23.7497910427102,42.2095554652309,47.6517009803028,37.7690379845143
"ENSG00000170004.20",3722.5336806824,3748.72401316794,4833.64625934302,5381.04903796202,5546.22313987231,3613.87744639595,2307.88619175229,2640.93283207655,6928.46176873245,7285.73631291159,6982.32282666097,2532.2423194163
"ENSG00000179859.11",8.19941339357357,11.6540642896413,91.1074484449002,100.541204290454,63.2889669821869,5.23143811001152,62.9329717017836,53.9545417305962,145.737354125722,85.3367099623146,129.468772474785,53.2200080690884
"ENSG00000170049.12",35.8724335968843,25.2504726275561,49.514917633098,45.0340810884326,48.5215413530099,38.7126420140852,28.8872656991794,27.4505563190752,61.5335495197491,41.291956433378,50.3489670735274,24.0348423537819
"ENSG00000170043.14",1690.10408575035,1556.78875469125,2761.9421055742,2687.38260634693,2974.58144816278,1527.57992812336,1605.30662242583,1265.56530340012,1951.80100932818,1720.49818472408,1678.5985986835,1440.37376677307
"ENSG00000170037.16",1034.15101426447,1040.12523785048,1972.67431850262,2032.81747424762,2134.94781953244,1133.12949462849,1067.79714280895,967.395467520514,1361.29484112989,1435.12488581785,1352.22940140331,939.075626251334
