"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000127054.24",3559,3721,3031,2886,3564,3604,2201,2647,1967,2281,2418,2519
"ENSG00000283712.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731.1",1,21,5,3,3,9,6,1,11,11,22,4
"ENSG00000224051.9",1161,1458,1143,941,1090,1088,565,730,546,604,636,682
"ENSG00000169962.6",19,9,16,3,22,6,0,1,24,19,23,1
"ENSG00000107404.23",2823,3550,2205,2212,2489,2861,1526,1628,1342,1523,1608,1753
"ENSG00000284372.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000304860.1",4,5,5,4,10,2,0,0,3,1,2,2
"ENSG00000162576.19",0,0,4,2,1,2,0,0,0,0,1,0
"ENSG00000175756.16",4440,5128,4502,4135,4512,4273,3033,3720,2794,3328,3696,3783
"ENSG00000223663.2",2,1,1,0,1,2,0,0,2,0,0,1
"ENSG00000221978.15",2631,3131,1789,1479,1596,2610,1428,1427,2074,2158,2588,1773
"ENSG00000224870.10",913,929,655,728,655,962,570,644,647,765,754,636
"ENSG00000242485.8",3631,3955,3582,3240,3248,3554,2267,2414,1743,1860,2115,2843
"ENSG00000264293.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000301639.1",35,62,111,99,108,40,16,28,11,14,23,25
"ENSG00000272455.1",90,131,311,280,367,101,67,60,70,28,53,96
"ENSG00000235098.11",309,703,0,0,0,423,0,0,5777,6680,7812,0
"ENSG00000225905.2",10,14,4,0,3,0,0,1,117,135,98,0
"ENSG00000205116.4",257,630,0,0,0,285,0,4,1507,1463,1559,1
"ENSG00000225285.2",0,0,0,0,0,0,0,0,1,1,2,0
"ENSG00000179403.14",2,11,0,1,0,11,0,1,19,15,3,0
"ENSG00000215915.10",511,635,1,0,0,472,2,0,73,76,68,4
"ENSG00000160072.22",4469,5674,2291,1762,2031,4474,1727,2020,786,853,1072,2387
"ENSG00000290916.2",1,4,11,7,13,6,5,9,8,7,14,8
"ENSG00000284740.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197785.16",4773,5832,3068,2961,3068,4975,3775,4321,1583,2098,2173,4934
"ENSG00000205090.10",20,34,18,7,4,38,6,15,24,13,27,13
"ENSG00000299413.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160075.14",5487,6348,4911,4688,4784,5143,4618,5048,2027,2024,2291,5274
"ENSG00000215014.5",21,8,15,14,12,8,24,14,5,5,5,18
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594.4",0,4,0,0,0,2,535,474,175,169,176,504
"ENSG00000286989.2",0,0,0,0,0,0,20,3,5,5,6,11
"ENSG00000272106.1",77,63,116,125,72,90,78,66,31,35,43,61
"ENSG00000197530.15",906,1104,2504,2176,2139,970,525,546,1064,1001,1125,582
"ENSG00000189409.16",4,7,9,5,3,3,2,1,5,1,4,2
"ENSG00000248333.11",1940,2244,858,746,882,2076,1654,1929,1136,1273,1372,2057
"ENSG00000272004.2",3,7,5,6,8,6,5,12,15,7,7,11
"ENSG00000189339.14",1271,1342,482,494,410,1210,1500,1457,1346,1626,1492,1666
"ENSG00000293187.1",1,0,1,0,0,1,0,0,0,1,0,0
"ENSG00000269737.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000310190.1",6,10,10,3,5,1,2,11,0,10,1,5
"ENSG00000310238.1",134,117,32,47,58,126,43,32,48,67,93,36
"ENSG00000215914.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008128.25",157,220,79,67,73,197,69,61,78,73,99,83
"ENSG00000268575.1",105,116,50,28,31,108,8,19,58,50,42,29
"ENSG00000293188.2",13,4,4,3,4,8,4,1,10,4,5,2
"ENSG00000290854.2",30,47,22,19,29,53,27,5,32,53,34,18
"ENSG00000215790.9",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227775.4",1,2,0,1,0,0,0,0,0,0,0,0
"ENSG00000008130.17",3550,3612,2358,2326,2135,3432,1911,2228,1526,1847,1880,2354
"ENSG00000302550.1",4,2,3,4,0,5,0,5,1,3,3,4
"ENSG00000078369.21",21461,20697,14816,14395,14498,19689,10063,10305,7693,9402,8579,11291
"ENSG00000231050.4",8,7,17,20,27,5,8,6,8,13,4,3
"ENSG00000303984.1",1,1,4,5,3,0,0,4,0,0,0,2
"ENSG00000294910.1",5,4,4,0,1,5,0,0,2,1,0,0
"ENSG00000306476.1",1,0,1,0,1,0,0,0,0,1,0,0
"ENSG00000169885.11",6,9,9,7,9,8,0,0,3,1,1,0
"ENSG00000178821.15",13,17,66,56,40,21,12,15,5,6,3,10
"ENSG00000142609.21",0,0,19,9,11,0,1,2,0,1,0,4
"ENSG00000233542.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187730.11",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000304958.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226969.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000067606.19",2,4,43,59,50,1,226,199,3,0,0,205
"ENSG00000308181.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271806.1",0,0,0,0,0,0,1,0,1,1,0,0
"ENSG00000182873.5",18,34,28,7,27,17,6,21,5,3,3,9
"ENSG00000162585.19",1974,1886,2341,2182,2117,1769,664,622,1067,1212,1180,707
"ENSG00000304038.1",0,2,14,6,6,0,0,0,0,0,0,0
"ENSG00000234396.3",0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000304143.1",0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000157933.13",2249,2375,1237,1178,1270,2108,849,897,629,733,775,1120
"ENSG00000295493.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287356.2",1,0,0,0,1,2,0,3,4,5,4,0
"ENSG00000116151.16",155,200,159,179,148,169,101,111,122,117,119,104
"ENSG00000272161.1",1,0,2,0,0,0,0,0,0,0,2,0
"ENSG00000292993.1",6,14,14,16,31,5,24,26,39,31,16,17
"ENSG00000269896.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272420.1",0,0,2,4,1,3,5,4,6,2,2,1
"ENSG00000295371.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157916.22",5450,5649,4366,3644,4186,5350,2385,2749,2471,2799,2874,3048
"ENSG00000157911.13",876,1056,1111,973,884,932,890,736,480,511,536,986
"ENSG00000149527.19",1,0,3,1,1,1,3,4,3,0,0,11
"ENSG00000224387.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881.18",956,937,357,363,354,966,487,517,318,410,437,555
"ENSG00000197921.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272449.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238164.7",2,4,45,54,66,2,10,12,2,1,2,20
"ENSG00000307979.1",0,0,2,1,1,0,0,0,0,0,0,0
"ENSG00000157873.20",249,335,855,543,682,240,167,189,161,242,193,257
"ENSG00000225931.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000307958.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228037.2",16,37,47,40,67,26,6,8,0,0,0,14
"ENSG00000289610.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157870.19",317,369,202,199,150,323,230,241,27,9,20,287
"ENSG00000142606.17",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000237058.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287396.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302855.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000295089.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000300015.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745.2",2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133.15",0,0,0,0,0,0,0,0,0,0,0,0
