ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term,minus_log10_padj
GO:0090130,tissue migration,236,0.4368734995285878,1.7980836425598488,4.0281964305328063e-7,0.0010884186755299643,0.0010163775625249617,2974,"tags=35%, list=20%, signal=28%",2113/11156/23189/9922/72/3964/3728/3397/10519/1512/5829/27086/23499/59/55612/10982/51466/4208/5294/6776/6722/6239/23129/55333/4163/6286/11151/5747/5578/25960/23603/7048/7857/116150/14/9404/7046/57669/1969/54566/634/22846/57608/2625/8660/161742/11235/3146/4763/2185/153090/54443/5216/3675/9734/2876/5613/4846/1839/10755/889/25865/5335/64218/7114/54345/2624/29941/8766/9270/29775/25/116844/1201/6615/2896/2050/28984/7124/3673/54567/7422,HuT 78,Up,GO:0090130,tissue migration,2.9632040150271326
GO:0001667,ameboidal-type cell migration,316,0.39010427355533583,1.643388044506625,9.236320893706038e-6,0.004991307810958742,0.004660939196255447,2878,"tags=31%, list=19%, signal=26%",9368/2113/11156/23189/9922/8482/3964/3728/3397/10519/1512/5829/27086/23499/59/3695/55612/10982/51466/4208/5294/397/6776/6722/708/6239/23129/55333/4163/3676/6286/11151/5747/5578/25960/23603/7048/7857/116150/4041/91/57124/55920/14/201161/9404/7046/57669/6405/1969/54566/634/22846/57608/2625/84159/8660/64750/161742/11235/5371/3146/4763/2185/153090/54443/5216/3675/9734/2876/5613/7481/4846/1839/10755/889/25865/5335/58495/3357/64218/8874/7114/54345/2624/29941/8766/9270/29775/25/116844/1201/6615/2896/2050/28984/55698/7124/3673,HuT 78,Up,GO:0001667,ameboidal-type cell migration,2.3017856466278137
GO:0031589,cell-substrate adhesion,260,0.3947247726167933,1.6407954339693767,2.298156325652099e-5,0.010349363986519951,0.009664352127347512,1965,"tags=25%, list=13%, signal=22%",7205/7791/4739/9806/10225/23189/916/3897/3728/4088/10519/87/5829/23499/5786/2633/10018/3695/55612/7070/6722/708/6239/960/6480/3676/11151/5318/5747/2041/23603/3204/7402/285613/3683/57091/55920/9404/9341/5590/57669/71/57662/6251/3655/10516/9480/3696/3682/84962/83700/81848/5328/9344/1020/4763/54749/7074/2185/51144/7414/3675/10109/5613/613/5054,HuT 78,Up,GO:0031589,cell-substrate adhesion,1.9850863386739235
GO:0051607,defense response to virus,252,0.3813793844544998,1.5780827471778467,1.3750983904702415e-4,0.033487403004977406,0.031270912385730196,2412,"tags=27%, list=16%, signal=23%",8519/60489/9641/10581/22900/8673/5359/85364/54541/6693/5551/197259/200316/3660/4940/256987/2633/5610/57506/708/57337/115362/834/84101/151636/91607/83666/11274/201292/79798/140564/4343/2150/91351/598/4615/2635/10155/7728/664/5245/85363/9474/7706/22978/5788/5371/4690/8165/25939/6041/10621/10077/55601/84282/51561/10868/4939/10875/3320/9188/4938/3428/29078/29108/246778/3659/64170,HuT 78,Up,GO:0051607,defense response to virus,1.4751185312997956
GO:0006302,double-strand break repair,289,-0.3178730324403084,-1.6274330946906344,1.0802242153705868e-5,0.0016380600657367038,0.001401690340251147,2616,"tags=30%, list=18%, signal=25%",10635/29072/125150/151636/4172/84142/196528/5591/51567/1111/284071/25836/6944/605/8317/55193/84250/3146/253714/1108/7486/55086/25939/7520/113510/5423/54969/545/79913/24144/6605/64769/25900/672/55257/54556/1663/4436/29117/4173/58493/675/57223/9401/8193/8914/25913/1653/86/79184/9275/9937/27339/6597/1457/23028/23126/142/7913/3297/8110/5892/7155/55345/6118/9907/8089/84515/6119/6599/83990/4176/9319/85456/3980/25/23137/254394/149840/6419/54799/80010/8289/79677/348654/6595,MyLa,Down,GO:0006302,double-strand break repair,2.7856701772155756
GO:0034502,protein localization to chromosome,109,-0.3786882556266546,-1.6737116561569199,3.046239691913094e-4,0.016139097348135647,0.013810248675515193,3122,"tags=39%, list=21%, signal=31%",546/23272/8365/7518/4796/10694/1736/157570/3009/29072/7014/55506/25836/84250/253714/55166/7520/545/80124/8019/27085/25900/3720/51535/4436/9656/7015/675/25913/9183/10576/142/10664/91272/222229/6118/84515/55920/23137/7013/254394/51176,MyLa,Down,GO:0034502,protein localization to chromosome,1.792120758813838
GO:0051983,regulation of chromosome segregation,122,-0.3638944571173346,-1.6428617772368914,5.483501821950858e-4,0.02315065925454878,0.019810052223544507,2379,"tags=29%, list=16%, signal=24%",196528/9587/10783/23310/605/23397/55193/51434/6605/56155/9918/51759/1843/29117/29882/8193/23369/51451/86/9275/9183/6597/1457/8110/10051/11130/6599/9319/55920/23137/8289/79677/348654/5359/6595,MyLa,Down,GO:0051983,regulation of chromosome segregation,1.635436637193066
GO:0033044,regulation of chromosome organization,236,-0.29901199396246414,-1.4622187778107032,6.237878853073427e-4,0.02530879129962797,0.021656768900086807,2223,"tags=24%, list=15%, signal=20%",10783/23310/605/23397/55193/84250/8260/7520/545/79913/51434/6605/56155/10155/9918/125476/170506/1663/51535/1843/29117/23293/29882/8193/4216/9869/57343/25913/51451/86/9275/9183/55196/10576/6597/142/8110/167227/201161/10664/10051/11130/8313/6599/9319/23137/7013/6419/10923/4609/8289/79677/348654/5609/3184/6595,MyLa,Down,GO:0033044,regulation of chromosome organization,1.5967285954358401
GO:0070936,protein K48-linked ubiquitination,80,-0.4191494360838879,-1.7630804740033759,7.966319750032215e-4,0.028322363111298744,0.024235486607958115,2572,"tags=35%, list=17%, signal=29%",151636/23220/7325/54765/22954/7321/23077/29089/51366/11337/7327/267/9111/92912/7324/57531/10477/223082/22978/54476/81847/10299/7326/23327/26268/84937/7323/6048,MyLa,Down,GO:0070936,protein K48-linked ubiquitination,1.5478705135747386
GO:0046631,alpha-beta T cell activation,155,0.5279362416552998,1.9755755493550593,2.1215908132085977e-8,5.732538377289631e-5,4.905341285487037e-5,2634,"tags=39%, list=18%, signal=32%",57045/7297/9021/942/1604/941/10538/1880/3600/30968/3718/604/29126/54440/7535/6522/7292/3559/64926/1386/4092/64332/917/6693/8809/915/3569/10892/8651/3566/9308/639/84433/10148/8764/5914/2841/975/6775/919/6778/868/6774/64410/4297/3726/3662/149233/80149/3707/135/80762/64919/5734/2529/28638/3702/64218/301/51561,MyLa,Up,GO:0046631,alpha-beta T cell activation,4.241653029142406
