ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term
GO:0034502,protein localization to chromosome,109,-0.3786882556266546,-1.6737116561569199,3.046239691913094e-4,0.016139097348135647,0.013810248675515193,3122,"tags=39%, list=21%, signal=31%",546/23272/8365/7518/4796/10694/1736/157570/3009/29072/7014/55506/25836/84250/253714/55166/7520/545/80124/8019/27085/25900/3720/51535/4436/9656/7015/675/25913/9183/10576/142/10664/91272/222229/6118/84515/55920/23137/7013/254394/51176,MyLa,Down,GO:0034502,protein localization to chromosome
GO:0045661,regulation of myoblast differentiation,54,-0.45454775089791827,-1.7451178666921487,9.81257186649768e-4,0.03241314551901529,0.027735974962997036,990,"tags=33%, list=7%, signal=31%",144165/196528/1649/55193/6605/29117/86/6597/55796/8110/6599/677/8740/8289/3399/6659/4208/6595,MyLa,Down,GO:0045661,regulation of myoblast differentiation
GO:0051983,regulation of chromosome segregation,122,-0.3638944571173346,-1.6428617772368914,5.483501821950858e-4,0.02315065925454878,0.019810052223544507,2379,"tags=29%, list=16%, signal=24%",196528/9587/10783/23310/605/23397/55193/51434/6605/56155/9918/51759/1843/29117/29882/8193/23369/51451/86/9275/9183/6597/1457/8110/10051/11130/6599/9319/55920/23137/8289/79677/348654/5359/6595,MyLa,Down,GO:0051983,regulation of chromosome segregation
GO:0062009,secondary palate development,18,-0.6345557779282262,-1.842539422005907,0.001925287843571474,0.04786711508601173,0.040959958816636714,2632,"tags=50%, list=18%, signal=41%",1739/7049/8321/7043/3696/55636/2535/10194/51176,MyLa,Down,GO:0062009,secondary palate development
GO:0070936,protein K48-linked ubiquitination,80,-0.4191494360838879,-1.7630804740033759,7.966319750032215e-4,0.028322363111298744,0.024235486607958115,2572,"tags=35%, list=17%, signal=29%",151636/23220/7325/54765/22954/7321/23077/29089/51366/11337/7327/267/9111/92912/7324/57531/10477/223082/22978/54476/81847/10299/7326/23327/26268/84937/7323/6048,MyLa,Down,GO:0070936,protein K48-linked ubiquitination
GO:0071474,cellular hyperosmotic response,14,-0.6779736429631839,-1.8562452548691863,0.0018169804180743069,0.046980680283605525,0.04020143528884629,2454,"tags=50%, list=17%, signal=42%",10367/7520/9943/231/65125/92241/79085,MyLa,Down,GO:0071474,cellular hyperosmotic response
GO:0000963,mitochondrial RNA processing,22,-0.6709752806409863,-2.0456349265482996,1.2380340434940866e-4,0.004490158369826875,0.0036944230305326893,2472,"tags=55%, list=17%, signal=46%",9238/25821/54802/80324/9692/57570/3028/6832/84881/60528/79675/79828,SeAx,Down,GO:0000963,mitochondrial RNA processing
GO:0002181,cytoplasmic translation,155,-0.36719983798660855,-1.6834563622761178,7.757650715966031e-5,0.0034998612762908933,0.00287962406619906,3035,"tags=34%, list=20%, signal=27%",54505/8893/6301/6152/6201/51121/54956/1974/6130/6194/6142/6217/8562/6132/8892/8665/1981/57409/2107/25873/55854/8890/23521/6146/6137/170506/2332/6231/6139/6207/6170/6188/10492/6181/6169/7555/2475/6210/1968/1983/6154/6144/6135/1819/6208/24140/6235/6209/6164/6133/6230/6168/6157,SeAx,Down,GO:0002181,cytoplasmic translation
GO:0006270,DNA replication initiation,36,-0.5919727537338374,-2.035887034055729,7.755970341822653e-5,0.0034998612762908933,0.00287962406619906,3723,"tags=58%, list=25%, signal=44%",11073/4172/4176/23595/64318/4171/4998/5557/222229/4999/81620/4683/1017/55388/5422/5000/4175/23594/5001/25792/997,SeAx,Down,GO:0006270,DNA replication initiation
GO:0006360,transcription by RNA polymerase I,68,-0.3985661396049508,-1.5990174743528036,0.004117849895225755,0.04734651241234039,0.038955874484733685,2541,"tags=32%, list=17%, signal=27%",9533/5437/84232/2074/11176/10514/54700/84128/84172/11137/4691/80758/2475/23133/6949/9188/56919/51082/64425/2965/5434/10498,SeAx,Down,GO:0006360,transcription by RNA polymerase I
