ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module
GO:0019221,cytokine-mediated signaling pathway,70/1244,350/12061,0.2,1.9390675241157558,6.045946258224453,3.299813098940583e-8,1.0548402539613397e-5,8.83886778853067e-6,IFITM1/STAT5A/TYK2/OSM/JAK3/PIK3R1/FAS/COMMD7/IL10RA/IFITM2/UGCG/STAT5B/IL15/CD44/STING1/STAT3/SIGIRR/TNFRSF4/IKBKE/IL17REL/IL7R/IL2RA/MST1R/NFKBIZ/OAS2/IL1R1/CARD16/STAT4/SMIM30/PRLR/ACKR3/IL12RB1/TNFRSF18/IL1RL1/EBI3/PADI2/IL6/EDN2/CXCL3/SLIT3/INHBA/GPR35/CCR10/IRAK2/YAP1/TNF/IL1RN/IL5/IL18RAP/TNFRSF1A/PRKN/CCR6/SPHK1/IL1R2/LYN/IL17F/CCL3/IL11/PPBP/IRS1/IRF1/SOCS1/IL12RB2/CSF1R/CCL5/MIB2/NKIRAS1/AIM2/IL4R/BIRC3,70,Module 2
GO:0032943,mononuclear cell proliferation,52/1244,231/12061,0.22510822510822512,2.1825002435934913,6.153827039537348,3.873728956181938e-8,1.1609081465557744e-5,9.727646990622668e-6,CD55/TWSG1/TYK2/CD80/RASSF5/GPR183/STAT5B/BCL2L1/BCL6/IL15/SASH3/RASAL3/SPN/TNFSF4/TNFRSF4/SH2D2A/IL7R/ZP3/MZB1/IL2RA/CBLB/MAD1L1/NFKBIZ/CD274/SLAMF1/CD40LG/IL9/SDC4/CARD11/CD22/PRLR/IL13/IL12RB1/CTLA4/EBI3/IL6/TGFBR2/IL5/PDCD1LG2/LYN/FOXP3/CCND3/NCKAP1L/IRF1/CORO1A/ZAP70/CCL5/TNFRSF9/LGALS3/RASGRP1/HLA-DMB/SLC11A1,52,Module 2
GO:0045055,regulated exocytosis,42/1244,169/12061,0.2485207100591716,2.409492189729637,6.257617382080821,4.1991083152632755e-8,1.1843955512757297e-5,9.924455999603666e-6,RAB11FIP1/NLGN1/CASK/SYNGR3/SYT4/SCAMP5/NR4A3/HYAL3/STX3/SCN11A/ZP3/GAB2/S100A13/CLNK/OTOF/ABCA12/ITGAM/IL13/ERC2/RIMS2/RAB26/P2RX1/CADPS2/RPH3AL/FCER1A/SYN1/GRIK5/LYN/CCL3/STX1B/PRAM1/SYT5/UNC13B/UNC13A/NCKAP1L/CPLX1/UNC13D/PIK3CD/CORO1A/RAB3D/RASGRP1/IL4R,42,Module 2
GO:0046651,lymphocyte proliferation,51/1244,226/12061,0.22566371681415928,2.1878859232279546,6.113293594276134,4.807245958426799e-8,1.2194521133784738e-5,1.0218206940926698e-5,CD55/TWSG1/TYK2/CD80/RASSF5/GPR183/STAT5B/BCL6/IL15/SASH3/RASAL3/SPN/TNFSF4/TNFRSF4/SH2D2A/IL7R/ZP3/MZB1/IL2RA/CBLB/MAD1L1/NFKBIZ/CD274/SLAMF1/CD40LG/IL9/SDC4/CARD11/CD22/PRLR/IL13/IL12RB1/CTLA4/EBI3/IL6/TGFBR2/IL5/PDCD1LG2/LYN/FOXP3/CCND3/NCKAP1L/IRF1/CORO1A/ZAP70/CCL5/TNFRSF9/LGALS3/RASGRP1/HLA-DMB/SLC11A1,51,Module 2
GO:0050670,regulation of lymphocyte proliferation,44/1244,182/12061,0.24175824175824176,2.343927776403661,6.195154078688213,4.832031314742649e-8,1.2194521133784738e-5,1.0218206940926698e-5,CD55/TWSG1/TYK2/CD80/RASSF5/GPR183/STAT5B/BCL6/IL15/SASH3/RASAL3/SPN/TNFSF4/TNFRSF4/ZP3/MZB1/IL2RA/CBLB/MAD1L1/CD274/SLAMF1/CD40LG/SDC4/CARD11/CD22/PRLR/IL13/IL12RB1/CTLA4/EBI3/IL6/TGFBR2/IL5/PDCD1LG2/LYN/FOXP3/NCKAP1L/IRF1/CORO1A/ZAP70/CCL5/TNFRSF9/LGALS3/HLA-DMB,44,Module 2
GO:0070665,positive regulation of leukocyte proliferation,35/1244,130/12061,0.2692307692307692,2.61028320554044,6.259879106434423,6.6916826370190145e-08,1.6043309122253086e-5,1.34432382239482e-5,CD55/TYK2/CD80/GPR183/STAT5B/BCL2L1/BCL6/IL15/SASH3/RASAL3/SPN/TNFSF4/TNFRSF4/ZP3/IL2RA/CD274/SLAMF1/CD40LG/CARD11/PRLR/IL13/IL12RB1/EBI3/IL6/TGFBR2/IL5/PDCD1LG2/LYN/FOXP3/NCKAP1L/CSF1R/CORO1A/ZAP70/CCL5/HLA-DMB,35,Module 2
GO:0032946,positive regulation of mononuclear cell proliferation,33/1244,120/12061,0.275,2.666217845659164,6.220602988213502,9.11830540930693e-8,2.0820130684584157e-5,1.7445900625225337e-5,CD55/TYK2/CD80/GPR183/STAT5B/BCL2L1/BCL6/IL15/SASH3/RASAL3/SPN/TNFSF4/TNFRSF4/ZP3/IL2RA/CD274/SLAMF1/CD40LG/CARD11/PRLR/IL13/IL12RB1/EBI3/IL6/TGFBR2/IL5/PDCD1LG2/FOXP3/NCKAP1L/CORO1A/ZAP70/CCL5/HLA-DMB,33,Module 2
GO:0070663,regulation of leukocyte proliferation,46/1244,200/12061,0.23,2.229927652733119,5.947909337555923,1.1992056057961546e-7,2.613723127178437e-5,2.1901281326908715e-5,CD55/TWSG1/TYK2/CD80/RASSF5/GPR183/STAT5B/BCL2L1/BCL6/IL15/SASH3/RASAL3/SPN/TNFSF4/TNFRSF4/ZP3/MZB1/IL2RA/CBLB/MAD1L1/CD274/SLAMF1/CD40LG/SDC4/CARD11/CD22/PRLR/IL13/IL12RB1/CTLA4/EBI3/IL6/TGFBR2/IL5/PDCD1LG2/LYN/FOXP3/NCKAP1L/IRF1/CSF1R/CORO1A/ZAP70/CCL5/TNFRSF9/LGALS3/HLA-DMB,46,Module 2
GO:0050671,positive regulation of lymphocyte proliferation,32/1244,117/12061,0.27350427350427353,2.6517162722950505,6.08812989828987,1.6349739003026574e-7,3.4085651530222795e-5,2.8561534908261978e-5,CD55/TYK2/CD80/GPR183/STAT5B/BCL6/IL15/SASH3/RASAL3/SPN/TNFSF4/TNFRSF4/ZP3/IL2RA/CD274/SLAMF1/CD40LG/CARD11/PRLR/IL13/IL12RB1/EBI3/IL6/TGFBR2/IL5/PDCD1LG2/FOXP3/NCKAP1L/CORO1A/ZAP70/CCL5/HLA-DMB,32,Module 2
GO:0051046,regulation of secretion,76/1244,408/12061,0.18627450980392157,1.805994262656831,5.616601193382838,1.8951129894532048e-7,3.701194899268564e-5,3.1013579782686145e-5,RAB11FIP1/NLGN1/CASK/SEPTIN1/OSM/ORAI1/SYT4/ITPR1/PTGER3/SCAMP5/HYAL3/STXBP6/PRKCE/ZP3/GAB2/LIF/ALOX12B/OAS2/FRMD4A/PLA2G4A/MCTP2/ABCG1/OTOF/SDC4/ABCA12/ITGAM/IL13/ADTRP/SYBU/ABAT/PTGES/CHRNA4/IL6/ACHE/RIMS2/INHBA/GABBR1/RAB26/P2RX1/FFAR1/CADPS2/TNF/RPH3AL/ANG/TNFRSF1A/ADORA2A/CD33/PRKN/GHRL/SYN1/SPP1/LYN/IL11/STX1B/PRAM1/SYT5/UNC13B/VEGFC/CORIN/SAA1/NCKAP1L/IRS1/CPLX1/APBB1/UNC13D/CYBA/RAB9A/RAB3D/CCL5/FOXO1/NEO1/PCK2/C2CD2L/IL4R/MYO18A/RHBDF2,76,Module 2
