"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000171723.18",900.67401331915,-0.484803591950638,0.140136225147935,-3.45951656282204,0.00054114599500063,0.00119421492353231
"ENSG00000271918.3",21.1152713612356,2.35190203161948,0.679890162231677,3.45923821562527,0.000541705575416157,0.00119529645890416
"ENSG00000072609.20",6.05964447033464,6.0633488071456,1.75292689532533,3.45898555342794,0.000542213986250024,0.00119614816534763
"ENSG00000235513.2",10.758303321264,4.38785009923358,1.26853973058239,3.45897727398661,0.000542230653791597,0.00119614816534763
"ENSG00000077514.11",1536.88819666173,-0.605459988787213,0.175092672580041,-3.45794018599172,0.000544322219241975,0.00120060812656604
"ENSG00000160908.17",611.043602795331,0.484941119915206,0.140247795458148,3.45774504569606,0.000544716611081066,0.00120132397879143
"ENSG00000197296.7",139.249280926931,1.01945289342018,0.294885636599823,3.45711274775867,0.000545996357879762,0.00120399196865794
"ENSG00000259045.1",27.303709488513,-2.15407857617708,0.623094158122345,-3.45706752037005,0.000546088003636629,0.00120403969523779
"ENSG00000178567.8",833.041905813294,-0.68637587962632,0.19854857189873,-3.45696709405901,0.000546291552040775,0.00120433410601145
"ENSG00000103043.17",1518.69653443478,-0.321118791284849,0.0929015188656861,-3.45655049783536,0.000547136682312272,0.00120604266766258
"ENSG00000285714.2",5.91234518984993,-5.9308319090283,1.71630256182106,-3.45558646881904,0.000549097037714568,0.00121020874534733
"ENSG00000149295.16",13.3202300109396,-3.18924533747642,0.92316292978741,-3.45469389483702,0.000550917920764421,0.00121406639809712
"ENSG00000279333.1",12.1154216313853,-5.49085126664559,1.58950848339233,-3.45443344531701,0.000551450306313508,0.00121508394422141
"ENSG00000181610.15",1620.67056150569,-0.370852186123261,0.107380143821881,-3.45363838158402,0.000553078464075458,0.00121851538133699
"ENSG00000164062.15",3927.38720204549,0.2881455986612,0.0834584173020501,3.45256485775847,0.000555283967041423,0.00122321775526543
"ENSG00000183828.17",224.689378220334,0.793912558976926,0.229963828208643,3.45233667903902,0.00055575380364161,0.00122409596909152
"ENSG00000120256.13",220.171062335562,0.733812111118615,0.212583020754548,3.4518848613309,0.000556685221898813,0.0012259905014929
"ENSG00000223536.8",5.90327330435467,-5.92901947490134,1.71768969825581,-3.45174071948027,0.000556982674846746,0.0012264885427428
"ENSG00000231528.4",11.3152429193925,5.48813489574359,1.59005409544014,3.45153973785051,0.000557397670198798,0.00122724525440596
"ENSG00000236088.13",267.617916219171,-0.878285628972114,0.25456292333134,-3.45017105192862,0.000560231458384267,0.00123332664587347
"ENSG00000242766.1",11.5702070087786,5.52464970710593,1.60181391703442,3.44899594662917,0.000562675148292204,0.0012385478053015
"ENSG00000247077.10",6665.44381037399,0.348877471211254,0.101205577853605,3.44721584136311,0.000566395881459254,0.00124657826757507
"ENSG00000270175.2",31.1316305190281,1.81307166518283,0.526035409822988,3.44667227971009,0.000567536579327486,0.00124892901284964
"ENSG00000170454.7",6.459471935309,-6.05675586597891,1.75759154965056,-3.44605427079067,0.000568836108206516,0.00125162863773213
