"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000138018.20",2426.20420363433,0.646254983394724,0.094635821027782,6.82886222548864,8.55907231092151e-12,3.37669828068625e-11
"ENSG00000221890.8",721.464061214498,-4.01115733632958,0.587538687210225,-6.82705228378324,8.6677113145612e-12,3.41878993121628e-11
"ENSG00000185686.18",80.6634616142618,-7.33992043210735,1.07542081660569,-6.8251612008721,8.78266387926443e-12,3.46335235993635e-11
"ENSG00000129197.17",1017.64517899111,0.804590476869374,0.117936272871539,6.82224778924265,8.96268949223729e-12,3.53354989278504e-11
"ENSG00000197872.13",106.016763251147,-10.1846796389171,1.49295814259156,-6.82181191043841,8.98993240599e-12,3.54349468611496e-11
"ENSG00000196159.15",98.2990575409003,-10.0756939413876,1.47711636262431,-6.82119174652337,9.02883323019458e-12,3.55802909515816e-11
"ENSG00000089057.17",1684.84002314009,0.647888058614833,0.0949832545780874,6.82107663601054,9.03607185561898e-12,3.56008252911236e-11
"ENSG00000072840.15",229.116842515431,-9.85331184737985,1.44471101181909,-6.82026492964374,9.08727697053019e-12,3.57945332049872e-11
"ENSG00000198399.18",1881.40094709843,0.594078617255051,0.0871084650080241,6.81998721020198,9.10486161815904e-12,3.58557538287125e-11
"ENSG00000289963.2",95.0025364609372,10.1355963705054,1.48617321914834,6.8199293594549,9.10852880688882e-12,3.58621510952546e-11
"ENSG00000162654.11",442.968407213927,4.7161089260462,0.691765344568318,6.81749810550164,9.26396256374203e-12,3.64659477060662e-11
"ENSG00000186020.15",270.880684707389,1.34310390114617,0.197056109533428,6.81584501148556,9.37112845992106e-12,3.68795183237781e-11
"ENSG00000136634.7",421.595228218552,12.2863883954745,1.80304876563489,6.81422967012665,9.47701985857583e-12,3.72878889818819e-11
"ENSG00000162779.23",59.6407460292259,6.42251658038775,0.942580857920209,6.81375664105777,9.50824989659324e-12,3.7402382967643e-11
"ENSG00000187054.18",229.877360850472,-9.85811612030025,1.44694168923883,-6.81307076409288,9.55371160933835e-12,3.75727959259731e-11
"ENSG00000248890.5",48.9175406463694,3.62127467999528,0.531713896121228,6.81056994449821,9.72128339667621e-12,3.82232589724631e-11
