Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000198157.13,2978.33030668629,-9.58041221216549,0.3118026337595765,2.4577410682066622e-206,3.0218622020695686e-204,MyLa_vs_HH,ENSG00000198157,HMGN5,protein_coding,Down
ENSG00000135298.16,511.27747104920553,-5.893764454996234,0.19318804910646642,7.291092830568897e-205,8.880823631850882e-203,MyLa_vs_HH,ENSG00000135298,ADGRB3,protein_coding,Down
ENSG00000103876.16,960.5223236620377,4.593830798403581,0.15078924074683664,1.4061773767146382e-204,1.6969175695112851e-202,MyLa_vs_HH,ENSG00000103876,FAH,protein_coding,Up
ENSG00000113356.15,1330.220535595179,-2.411890835432261,0.07929663105016657,5.9810089730149885e-204,7.151421095899481e-202,MyLa_vs_HH,ENSG00000113356,POLR3G,protein_coding,Down
ENSG00000167315.20,1360.507001045429,4.554351109337389,0.15013304080084344,2.997335798565587e-203,3.5512979511550264e-201,MyLa_vs_HH,ENSG00000167315,ACAA2,protein_coding,Up
ENSG00000025708.16,920.2077418997171,6.847782306742606,0.22525219626023515,3.576191126115207e-203,4.198963869068423e-201,MyLa_vs_HH,ENSG00000025708,TYMP,protein_coding,Up
ENSG00000120896.16,894.2729015840025,-6.749715803330159,0.222320724922452,1.229215292111744e-202,1.430389544829675e-200,MyLa_vs_HH,ENSG00000120896,SORBS3,protein_coding,Down
ENSG00000276045.5,1398.8440513695725,2.5245494099152426,0.08331863480181748,1.7923236115892327e-202,2.0671994362692452e-200,MyLa_vs_HH,ENSG00000276045,ORAI1,protein_coding,Up
ENSG00000140511.14,1010.3185250089065,5.087678261548247,0.16814624899853886,3.470704667487597e-202,3.9678678887163027e-200,MyLa_vs_HH,ENSG00000140511,HAPLN3,protein_coding,Up
ENSG00000152270.12,1016.0595541164062,-4.359885197593012,0.14403090314471456,7.505833642162843e-202,8.506393900722463e-200,MyLa_vs_HH,ENSG00000152270,PDE3B,protein_coding,Down
ENSG00000149212.13,2205.3021516234526,3.820219604492684,0.12667515103272328,1.038158593991069e-200,1.1664069789211726e-198,MyLa_vs_HH,ENSG00000149212,SESN3,protein_coding,Up
ENSG00000137193.16,1557.1439763525073,3.9291164079475167,0.13037146792611856,1.608739219765504e-200,1.7920254915558817e-198,MyLa_vs_HH,ENSG00000137193,PIM1,protein_coding,Up
ENSG00000116717.14,790.5812108617487,5.304802220050997,0.17596816781519686,2.2847855857066636e-200,2.5235263168233006e-198,MyLa_vs_HH,ENSG00000116717,GADD45A,protein_coding,Up
ENSG00000138785.18,1214.7579127671124,-2.279998239843145,0.0760018029463753,1.8623846363358913e-198,2.039702434064342e-196,MyLa_vs_HH,ENSG00000138785,INTS12,protein_coding,Down
ENSG00000163975.16,1217.5680164229498,-4.451993785784872,0.14862031047966032,1.9140768542058477e-198,2.0788469700720678e-196,MyLa_vs_HH,ENSG00000163975,MELTF,protein_coding,Down
ENSG00000101986.14,791.4885302995677,3.202387197294681,0.10684333661517496,3.460627319055865e-198,3.7274674255582714e-196,MyLa_vs_HH,ENSG00000101986,ABCD1,protein_coding,Up
ENSG00000266094.10,2713.824556855067,1.994665513539823,0.06700102576317589,2.307488054463651e-195,2.4650403126085875e-193,MyLa_vs_HH,ENSG00000266094,RASSF5,protein_coding,NS
ENSG00000134330.20,1192.1638185269865,4.952775273634057,0.16740299726791563,2.384703085496327e-193,2.5268158791279372e-191,MyLa_vs_HH,ENSG00000134330,IAH1,protein_coding,Up
ENSG00000065989.18,1774.1737801925194,-4.1497280123696205,0.14022171156760896,3.1684645122286083e-193,3.330209515151246e-191,MyLa_vs_HH,ENSG00000065989,PDE4A,protein_coding,Down
ENSG00000100167.21,837.3553566927703,-4.377041367313179,0.1481473609416502,8.529675990829022e-193,8.893381375077972e-191,MyLa_vs_HH,ENSG00000100167,SEPTIN3,protein_coding,Down
ENSG00000123472.15,889.5657380679334,3.761658746718939,0.12751822981057778,6.90593453706406e-192,7.143257525520309e-190,MyLa_vs_HH,ENSG00000123472,ATPAF1,protein_coding,Up
ENSG00000102743.18,662.0274027403478,4.151813623942356,0.14225707429741585,3.37926522329994e-188,3.4678711539581197e-186,MyLa_vs_HH,ENSG00000102743,SLC25A15,protein_coding,Up
ENSG00000196155.15,1167.517825914633,5.514226060312719,0.18927918655104664,4.081729684156698e-187,4.156029919813613e-185,MyLa_vs_HH,ENSG00000196155,PLEKHG4,protein_coding,Up
ENSG00000114354.17,3111.1677647095253,1.5745118990704454,0.05402544499382917,4.1541017540544505e-187,4.196930865162144e-185,MyLa_vs_HH,ENSG00000114354,TFG,protein_coding,NS
ENSG00000108578.17,2867.512396290558,1.9218030310301686,0.06609090364881208,1.893541478955896e-186,1.898348161171707e-184,MyLa_vs_HH,ENSG00000108578,BLMH,protein_coding,NS
ENSG00000161513.14,1770.6480584692113,2.537222735530613,0.08786158968139034,4.6041601674451165e-184,4.580612172695588e-182,MyLa_vs_HH,ENSG00000161513,FDXR,protein_coding,Up
ENSG00000166503.12,1396.2996100914834,-6.045471204598686,0.20908089088883106,5.213582606189987e-184,5.147622886854099e-182,MyLa_vs_HH,ENSG00000166503,HDGFL3,protein_coding,Down
ENSG00000115825.13,1755.139207614243,-3.1551133354143857,0.10962819196849073,4.294510484741788e-183,4.2082973795217837e-181,MyLa_vs_HH,ENSG00000115825,PRKD3,protein_coding,Down
ENSG00000064309.18,708.1716505401133,-4.366111339838693,0.15172731011940188,4.827335995479986e-183,4.695124629036616e-181,MyLa_vs_HH,ENSG00000064309,CDON,protein_coding,Down
ENSG00000164733.25,2754.9025016545056,8.500061668915885,0.29664437676680827,1.3322661061469208e-179,1.2861795675120607e-177,MyLa_vs_HH,ENSG00000164733,CTSB,protein_coding,Up
ENSG00000089053.15,5676.973238335458,1.3524129149348918,0.04738251762495692,1.751133219047303e-179,1.6781264149884927e-177,MyLa_vs_HH,ENSG00000089053,ANAPC5,protein_coding,NS
ENSG00000121578.15,650.4295080032638,2.738657771687549,0.0963616511025391,1.8595735246503792e-178,1.7690380837057222e-176,MyLa_vs_HH,ENSG00000121578,B4GALT4,protein_coding,Up
ENSG00000158234.15,467.93378846726614,4.731469569033143,0.16687521724111892,1.6264836076010332e-177,1.536084120135092e-175,MyLa_vs_HH,ENSG00000158234,FAIM,protein_coding,Up
ENSG00000142875.23,1560.7121456859845,-2.7502474156219567,0.09706519623239325,1.6604241175060186e-177,1.5568566563637367e-175,MyLa_vs_HH,ENSG00000142875,PRKACB,protein_coding,Down
ENSG00000110660.17,1817.8501287285098,-2.0354450380933806,0.07184547076061883,2.6158502734669343e-177,2.435169758149611e-175,MyLa_vs_HH,ENSG00000110660,SLC35F2,protein_coding,Down
ENSG00000177971.9,2365.9604194454664,1.7195153636332603,0.06074078571705228,8.977165307355685e-177,8.297829464593378e-175,MyLa_vs_HH,ENSG00000177971,IMP3,protein_coding,NS
ENSG00000026103.26,2406.020919468713,3.9479190455118425,0.13977915091110957,1.6605390386249958e-176,1.5240707950985613e-174,MyLa_vs_HH,ENSG00000026103,FAS,protein_coding,Up
ENSG00000156831.11,2361.988846395297,-1.661735313045783,0.058786315566508554,2.5635890482594956e-176,2.336451473144476e-174,MyLa_vs_HH,ENSG00000156831,NSMCE2,protein_coding,NS
ENSG00000111859.19,953.298702457791,6.153222157225124,0.21787769688056652,8.750662494514793e-176,7.91995724243134e-174,MyLa_vs_HH,ENSG00000111859,NEDD9,protein_coding,Up
ENSG00000126777.20,7227.308100969931,-1.3814897712192022,0.04944695133816365,2.0602634661447484e-175,1.8518216382251384e-173,MyLa_vs_HH,ENSG00000126777,KTN1,protein_coding,NS
ENSG00000117676.16,3131.8087721700413,2.010909727502597,0.07148813571190052,9.717442270367081e-175,8.674481171896861e-173,MyLa_vs_HH,ENSG00000117676,RPS6KA1,protein_coding,Up
