Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000137491.17,375.92522403656506,-14.219462337369917,3.356224916255508,4.950000681380015e-27,2.835752038700032e-26,HuT78_vs_HH,ENSG00000137491,SLCO2B1,protein_coding,Down
ENSG00000042832.13,282.5674842515228,-14.111274318745137,3.3855051398642018,1.6858227120792413e-26,9.445970510115543e-26,HuT78_vs_HH,ENSG00000042832,TG,protein_coding,Down
ENSG00000187164.22,362.8246323086351,-13.924090587822638,3.365901343079876,7.607679339180872e-26,4.173017038196309e-25,HuT78_vs_HH,ENSG00000187164,SHTN1,protein_coding,Down
ENSG00000198642.9,561.0195831402019,-13.912486367559955,3.3622470468905847,5.027239837883959e-26,2.778626666969535e-25,HuT78_vs_HH,ENSG00000198642,KLHL9,protein_coding,Down
ENSG00000156103.17,271.90383372021364,-13.894075865782153,3.361607438992465,8.623716134015412e-26,4.718425372570229e-25,HuT78_vs_HH,ENSG00000156103,MMP16,protein_coding,Down
ENSG00000164749.14,275.2849592025444,-13.866885213859268,3.359414365535671,1.0977366571587202e-25,5.9844718230857e-25,HuT78_vs_HH,ENSG00000164749,HNF4G,protein_coding,Down
ENSG00000149328.18,258.93328493527775,-13.854524116965367,3.3573793384127595,1.0334951516737813e-25,5.642874868774358e-25,HuT78_vs_HH,ENSG00000149328,GLB1L2,protein_coding,Down
ENSG00000172179.14,236.74123314614062,-13.828955195038056,3.3577240814715625,2.3383931647572896e-25,1.2567537367538868e-24,HuT78_vs_HH,ENSG00000172179,PRL,protein_coding,Down
ENSG00000170837.3,336.56992547985556,-13.77356240025299,3.3479463141596897,1.6430856722414088e-25,8.892996497642143e-25,HuT78_vs_HH,ENSG00000170837,GPR27,protein_coding,Down
ENSG00000117281.18,263.2815422816277,-13.762417700644574,3.3534547183731602,6.709069952166685e-25,3.530048796390327e-24,HuT78_vs_HH,ENSG00000117281,CD160,protein_coding,Down
ENSG00000147647.15,221.58214739831473,-13.71384384139796,3.34363939004948,3.7886228351088255e-25,2.0195141680970682e-24,HuT78_vs_HH,ENSG00000147647,DPYS,protein_coding,Down
