Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_line,Ensembl,gene_symbol,gene_type
ENSG00000172239.16,1755.237286905018,0.05070436689012485,0.0574261586642381,0.8829489568784405,0.3772638505906941,0.4201924428823191,MyLa,ENSG00000172239,PAIP1,protein_coding
ENSG00000112992.20,1543.246976763975,1.6486237635495211,0.9565435534330375,1.7235219009449239,NA,NA,MyLa,ENSG00000112992,NNT,protein_coding
ENSG00000112996.13,2094.886815002485,-0.36539780621899226,0.06418975956243536,-5.692462609453791,1.2522002624089745e-8,3.063624182462205e-8,MyLa,ENSG00000112996,MRPS30,protein_coding
ENSG00000170571.14,3102.0329997871877,1.3859132410349215,0.09830745221945054,14.097743454292397,3.9210837022784336e-45,3.9955812268799706e-44,MyLa,ENSG00000170571,EMB,protein_coding
ENSG00000151883.22,645.4700012084063,-2.906918835242828,0.14658374414087838,-19.831113281217956,1.6044898759214562e-87,4.393133729597551e-86,MyLa,ENSG00000151883,PARP8,protein_coding
ENSG00000152684.13,1066.6623875500793,-0.05110962764202706,0.08618562959296117,-0.5930179762381317,0.5531691219416657,0.5945940755683076,MyLa,ENSG00000152684,PELO,protein_coding
ENSG00000213949.11,7.661849779544126,0.07980784437405672,0.8607185197499426,0.09272235062078439,0.9261241402742901,0.9372709986173958,MyLa,ENSG00000213949,ITGA1,protein_coding
ENSG00000164171.13,36.72950407051826,-2.7815798971817625,0.8656690425909129,-3.213214011738949,0.0013125844488413026,0.0020890112494503232,MyLa,ENSG00000164171,ITGA2,protein_coding
ENSG00000164172.22,861.3875732061427,-1.5348156259476575,0.09527055459930758,-16.110073384193488,2.167664763189701e-58,3.177859939105892e-57,MyLa,ENSG00000164172,MOCS2,protein_coding
ENSG00000134363.14,7.905585876871595,-3.7872107000504496,1.3825798073024078,-2.7392347841675684,0.0061582378336537185,0.00908333110977919,MyLa,ENSG00000134363,FST,protein_coding
ENSG00000164258.14,842.3080763461388,0.31876675170483015,0.07023555070166607,4.538538511057316,5.6645451768871934e-6,1.1250536008895274e-5,MyLa,ENSG00000164258,NDUFS4,protein_coding
ENSG00000185305.13,159.93487596728414,-1.1627855939090908,0.1467950885114854,-7.921147810187895,2.3532798737018042e-15,8.500636528258208e-15,MyLa,ENSG00000185305,ARL15,protein_coding
ENSG00000178996.16,822.0837813073351,-0.2859469604873874,0.0763949202071737,-3.7430101335525205,1.8182889310030878e-4,3.145024504016356e-4,MyLa,ENSG00000178996,SNX18,protein_coding
ENSG00000145649.9,30.990473005934394,0.9362669309715479,0.7805390931616515,1.1995131815616118,0.2303284623754826,0.26867187417342386,MyLa,ENSG00000145649,GZMA,protein_coding
ENSG00000164287.13,11.312575051529377,2.5203947431019595,0.8328983507967365,3.026053228093191,0.002477686814789538,0.0038196939031407673,MyLa,ENSG00000164287,CDC20B,protein_coding
ENSG00000234602.10,214.22264998598854,-0.05549152629756424,0.1836308296721402,-0.30219068550003514,0.7625067044190961,0.7907814019809087,MyLa,ENSG00000234602,MCIDAS,protein_coding
ENSG00000152669.10,108.6865968181875,-5.53376567213088,0.5327559141560918,-10.387056295558168,2.8398272255007895e-25,1.5466555883807685e-24,MyLa,ENSG00000152669,CCNO,protein_coding
ENSG00000067248.13,1383.10897542099,0.3345758614966234,0.05806133738660071,5.762455302551061,8.289900136438328e-9,2.05013792178749e-8,MyLa,ENSG00000067248,DHX29,protein_coding
ENSG00000039123.18,3601.3046209653967,-0.26991623868371756,0.05985579220601824,-4.509442256727472,6.499828275038937e-6,1.2852717631403802e-5,MyLa,ENSG00000039123,MTREX,protein_coding
ENSG00000067113.19,485.12502240953285,0.7258371642368425,0.08759428584861831,8.286352896252213,1.1677396567543333e-16,4.51606853011253e-16,MyLa,ENSG00000067113,PLPP1,protein_coding
ENSG00000177058.14,655.0971019015944,-0.34372226104849574,0.08579219007809075,-4.006451644789916,6.163773686218292e-5,1.1151091400955441e-4,MyLa,ENSG00000177058,SLC38A9,protein_coding
ENSG00000152670.20,28.90765948928315,3.294490834791839,0.3618392822866104,9.104845703795906,8.638914463242359e-20,3.8296249047427776e-19,MyLa,ENSG00000152670,DDX4,protein_coding
ENSG00000164509.17,17.467653791451202,-0.6057779185770524,0.8902390459687588,-0.6804665795329663,0.49620907623724686,0.53856536397402055,MyLa,ENSG00000164509,IL31RA,protein_coding
ENSG00000134352.23,468.0845942851403,-0.24171083997111417,0.11746443451732869,-2.057736377519923,0.039615446347177105,0.05225790609744526,MyLa,ENSG00000134352,IL6ST,protein_coding
ENSG00000164512.19,51.07375320454026,8.236024805900424,0.5858436098631756,14.05840170864705,6.84139083239489e-45,6.9334250947591455e-44,MyLa,ENSG00000164512,ANKRD55,protein_coding
ENSG00000095015.8,932.4569741701802,0.910247654222913,0.10129023409715356,8.986529277342173,2.5516074630034317e-19,1.1088729598307343e-18,MyLa,ENSG00000095015,MAP3K1,protein_coding
ENSG00000155542.14,154.7732808049064,1.8535232397126422,0.14483664804647653,12.7973359278369,1.69672700770242e-37,1.3969326021090107e-36,MyLa,ENSG00000155542,SETD9,protein_coding
ENSG00000155545.22,618.7641397372298,0.32685104571538964,0.10152596978756764,3.2193836355298147,0.0012846648880293487,0.0020465759058411566,MyLa,ENSG00000155545,MIER3,protein_coding
ENSG00000062194.18,3089.297931922333,0.223728434785786,0.038750901279506526,5.773502741834424,7.764034235793366e-9,1.9230075673716257e-8,MyLa,ENSG00000062194,GPBP1,protein_coding
