Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000156711.19,Module 1,ENSG00000156711,MAPK13,protein_coding
ENSG00000187446.14,Module 2,ENSG00000187446,CHP1,protein_coding
ENSG00000136810.15,Module 1,ENSG00000136810,TXN,protein_coding
ENSG00000130511.18,Module 1,ENSG00000130511,SSBP4,protein_coding
ENSG00000104611.14,Module 3,ENSG00000104611,SH2D4A,protein_coding
ENSG00000143494.18,Module 3,ENSG00000143494,VASH2,protein_coding
ENSG00000093010.17,Module 1,ENSG00000093010,COMT,protein_coding
ENSG00000106415.15,Module 4,ENSG00000106415,GLCCI1,protein_coding
ENSG00000085719.15,Module 5,ENSG00000085719,CPNE3,protein_coding
ENSG00000168310.14,Module 4,ENSG00000168310,IRF2,protein_coding
ENSG00000128829.14,Module 1,ENSG00000128829,EIF2AK4,protein_coding
ENSG00000115548.19,Module 1,ENSG00000115548,KDM3A,protein_coding
ENSG00000138119.19,Module 3,ENSG00000138119,MYOF,protein_coding
ENSG00000081320.14,Module 1,ENSG00000081320,STK17B,protein_coding
ENSG00000006282.24,Module 1,ENSG00000006282,SPATA20,protein_coding
ENSG00000134243.14,Module 3,ENSG00000134243,SORT1,protein_coding
ENSG00000132872.14,Module 1,ENSG00000132872,SYT4,protein_coding
ENSG00000117091.12,Module 2,ENSG00000117091,CD48,protein_coding
ENSG00000134864.13,Module 1,ENSG00000134864,GGACT,protein_coding
ENSG00000139793.23,Module 3,ENSG00000139793,MBNL2,protein_coding
ENSG00000182459.6,Module 1,ENSG00000182459,TEX19,protein_coding
ENSG00000109756.12,Module 1,ENSG00000109756,RAPGEF2,protein_coding
ENSG00000198752.13,Module 1,ENSG00000198752,CDC42BPB,protein_coding
ENSG00000139083.13,Module 1,ENSG00000139083,ETV6,protein_coding
ENSG00000072110.19,Module 5,ENSG00000072110,ACTN1,protein_coding
ENSG00000081189.19,Module 4,ENSG00000081189,MEF2C,protein_coding
ENSG00000178163.10,Module 1,ENSG00000178163,ZNF518B,protein_coding
ENSG00000085365.20,Module 3,ENSG00000085365,SCAMP1,protein_coding
ENSG00000110324.14,Module 1,ENSG00000110324,IL10RA,protein_coding
ENSG00000196975.18,Module 5,ENSG00000196975,ANXA4,protein_coding
ENSG00000171033.15,Module 2,ENSG00000171033,PKIA,protein_coding
ENSG00000100628.14,Module 3,ENSG00000100628,ASB2,protein_coding
ENSG00000163219.13,Module 1,ENSG00000163219,ARHGAP25,protein_coding
ENSG00000163040.17,Module 3,ENSG00000163040,CCDC74A,protein_coding
ENSG00000188191.18,Module 1,ENSG00000188191,PRKAR1B,protein_coding
ENSG00000139352.5,Module 1,ENSG00000139352,ASCL1,protein_coding
ENSG00000134109.12,Module 1,ENSG00000134109,EDEM1,protein_coding
ENSG00000169504.17,Module 6,ENSG00000169504,CLIC4,protein_coding
ENSG00000106211.12,Module 1,ENSG00000106211,HSPB1,protein_coding
ENSG00000110047.19,Module 3,ENSG00000110047,EHD1,protein_coding
ENSG00000167123.22,Module 1,ENSG00000167123,CERCAM,protein_coding
ENSG00000117114.23,Module 1,ENSG00000117114,ADGRL2,protein_coding
ENSG00000148429.17,Module 1,ENSG00000148429,USP6NL,protein_coding
ENSG00000188042.9,Module 1,ENSG00000188042,ARL4C,protein_coding
ENSG00000120910.17,Module 3,ENSG00000120910,PPP3CC,protein_coding
ENSG00000205189.14,Module 1,ENSG00000205189,ZBTB10,protein_coding
ENSG00000142621.23,Module 1,ENSG00000142621,FHAD1,protein_coding
ENSG00000196862.10,Module 1,ENSG00000196862,RGPD4,protein_coding
ENSG00000185201.19,Module 1,ENSG00000185201,IFITM2,protein_coding
ENSG00000144749.16,Module 2,ENSG00000144749,LRIG1,protein_coding
ENSG00000124788.19,Module 1,ENSG00000124788,ATXN1,protein_coding
ENSG00000137767.16,Module 1,ENSG00000137767,SQOR,protein_coding
