Ensembl,ERR186009,ERR567612,ERR567614,ERR567616,ERR567620,ERR650557,ERR650558,ERR650559
ENSG00000010379,3,3,3,13,10,13,29,21
ENSG00000010404,1565,2043,2234,2920,3047,3365,2675,2344
ENSG00000010438,0,0,1,0,0,0,0,0
ENSG00000010539,337,669,763,830,543,749,596,637
ENSG00000010610,5343,6946,7101,9462,5182,9696,8890,8616
ENSG00000010626,72,183,227,170,98,270,289,156
ENSG00000010671,48,7,11,57,22,82,24,19
ENSG00000010704,97,134,173,166,152,161,130,131
ENSG00000010803,613,929,1065,1285,924,1112,1113,1107
ENSG00000010810,6380,15930,18589,20781,14590,20766,17325,16116
ENSG00000010818,6432,15087,17628,20219,14915,23695,19325,19271
ENSG00000010932,0,0,0,0,0,0,0,0
ENSG00000011007,596,1480,1665,2179,1159,1937,2107,1380
ENSG00000011009,800,831,968,1053,429,1096,1013,1024
ENSG00000011021,212,557,736,841,673,806,723,675
ENSG00000011028,72,28,93,65,51,147,121,53
ENSG00000011052,2,1,7,6,2,6,3,7
ENSG00000011083,0,0,0,0,0,0,0,0
ENSG00000011105,33,23,72,50,45,29,42,48
ENSG00000011114,838,1447,1882,1911,1517,1951,1811,1422
ENSG00000011132,629,766,764,874,448,906,861,1003
ENSG00000011143,196,471,593,607,357,611,552,552
ENSG00000011198,84,236,327,337,199,283,257,192
ENSG00000011201,0,52,2,83,0,73,0,0
ENSG00000011243,1733,2766,3663,4227,1856,4449,3896,3903
ENSG00000011258,1304,3399,4466,4592,3723,4330,3361,3097
ENSG00000011260,1383,2846,3344,3610,2107,3208,2944,2486
ENSG00000011275,2920,8789,10748,13060,7692,11454,10384,10477
ENSG00000011295,1007,1876,2166,2342,1747,2198,1915,1740
ENSG00000011304,3164,4434,5086,6483,3316,6728,5842,5665
ENSG00000011332,1,2,0,3,2,1,0,1
ENSG00000011347,1,0,1,0,1,2,4,0
ENSG00000011376,685,1372,1583,1725,1354,1715,1374,1296
ENSG00000011405,1367,4871,6158,6285,4370,5542,4828,4199
ENSG00000011422,15,16,17,12,11,15,13,13
ENSG00000011426,2,36,62,23,14,22,15,17
ENSG00000011451,194,432,536,628,511,843,653,632
ENSG00000011454,1223,3373,3593,4251,2903,3732,3183,2985
ENSG00000011465,2,9,8,8,23,1,5,5
ENSG00000011478,145,206,227,250,152,254,202,198
ENSG00000011485,524,895,872,1023,715,1217,1059,930
ENSG00000011523,1829,3327,4583,4936,3855,5452,3891,3742
ENSG00000011566,547,1543,1924,2286,1642,1688,1540,1367
ENSG00000011590,10,41,15,10,36,23,16,51
ENSG00000011600,19,2,2,10,5,27,4,5
ENSG00000011638,326,353,494,686,257,564,560,514
ENSG00000011677,1,0,0,0,0,0,0,0
ENSG00000012048,88,173,255,188,193,211,172,182
ENSG00000012061,578,1682,2140,2018,971,2240,2366,2123
ENSG00000012124,15,17,29,37,61,28,23,33
ENSG00000012171,7,9,16,24,13,16,32,12
ENSG00000012174,210,482,595,686,823,647,427,393
ENSG00000012211,66,88,123,114,70,120,116,114
ENSG00000012223,0,0,0,0,0,1,0,0
ENSG00000012232,542,771,921,969,589,976,870,653
ENSG00000012504,0,0,0,0,0,0,0,0
ENSG00000012660,1955,3631,4647,4848,3178,5200,4235,4068
ENSG00000012779,24,40,51,31,58,77,145,61
ENSG00000012817,0,9726,1,13785,0,11645,0,1
ENSG00000012822,1446,2619,3635,4169,2346,4131,3436,3371
ENSG00000012963,591,1035,1185,1399,642,1304,1173,1092
ENSG00000012983,896,2569,3083,3506,2423,3089,2534,2305
